Algorithm,Performance_Metric_New,Performance_Metric,Baseline_SCore,Category,Feature_Types,Data_Size
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.793382404,Camera,Unigram_Bigram_Trigram_Composite,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.963529246,Camera,Unigram_Bigram_Trigram_Composite,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.965,Camera,Unigram_Bigram_Trigram_Composite,2k
MX,meanRecall,cv_MX_train.meanRecall,0.963,Camera,Unigram_Bigram_Trigram_Composite,2k
MX,meanFscore,cv_MX_train.meanFscore,0.963676333,Camera,Unigram_Bigram_Trigram_Composite,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.630031312,Camera,Unigram_Bigram_Trigram_Composite,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.601,Camera,Unigram_Bigram_Trigram_Composite,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.775,Camera,Unigram_Bigram_Trigram_Composite,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.67548836,Camera,Unigram_Bigram_Trigram_Composite,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.849746732,Camera,Unigram_Bigram_Trigram_Composite,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.849,Camera,Unigram_Bigram_Trigram_Composite,2k
BG,meanRecall,cv_BG_train.meanRecall,0.853,Camera,Unigram_Bigram_Trigram_Composite,2k
BG,meanFscore,cv_BG_train.meanFscore,0.850705455,Camera,Unigram_Bigram_Trigram_Composite,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.843873935,Camera,Unigram_Bigram_Trigram_Composite,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.831,Camera,Unigram_Bigram_Trigram_Composite,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.862,Camera,Unigram_Bigram_Trigram_Composite,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.845954118,Camera,Unigram_Bigram_Trigram_Composite,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.873709012,Camera,Unigram_Bigram_Trigram_Composite,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.861,Camera,Unigram_Bigram_Trigram_Composite,2k
RF,meanRecall,cv_RF_train.meanRecall,0.89,Camera,Unigram_Bigram_Trigram_Composite,2k
RF,meanFscore,cv_RF_train.meanFscore,0.874639037,Camera,Unigram_Bigram_Trigram_Composite,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.500471007,Camera,Unigram_Bigram_Trigram_Composite,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.501,Camera,Unigram_Bigram_Trigram_Composite,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,Camera,Unigram_Bigram_Trigram_Composite,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.666619639,Camera,Unigram_Bigram_Trigram_Composite,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.815302667,Camera,Unigram_Bigram_Trigram_Composite,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.844,Camera,Unigram_Bigram_Trigram_Composite,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.778,Camera,Unigram_Bigram_Trigram_Composite,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.809163972,Camera,Unigram_Bigram_Trigram_Composite,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.894494234,Camera,Unigram_Bigram_Trigram_Composite,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.883,Camera,Unigram_Bigram_Trigram_Composite,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.874,Camera,Unigram_Bigram_Trigram_Composite,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.877751215,Camera,Unigram_Bigram_Trigram_Composite,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.764570636,Camera,Neg_Pos,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.799,Camera,Neg_Pos,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.707,Camera,Neg_Pos,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.749088598,Camera,Neg_Pos,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.832831269,Camera,Neg_Pos,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.824,Camera,Neg_Pos,2k
MX,meanRecall,cv_MX_train.meanRecall,0.847,Camera,Neg_Pos,2k
MX,meanFscore,cv_MX_train.meanFscore,0.834834499,Camera,Neg_Pos,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.574135295,Camera,Neg_Pos,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.548,Camera,Neg_Pos,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.869,Camera,Neg_Pos,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.671202051,Camera,Neg_Pos,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.800718888,Camera,Neg_Pos,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.785,Camera,Neg_Pos,2k
